
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb global indeks s;dnb grönt skifte norden s;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli corporate bond placeringsfonden b;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;
2024-03-27;-0,004;0,028;0,019;-0,102;-0,136;-0,077;-0,057;-0,023;-0,011;;;;;;;;;
2024-03-28;;;;;;-0,074;-0,052;-0,023;-0,012;-0,033;-0,014;-0,067;-0,025;0,016;-0,048;-0,025;-0,009;
2024-04-02;-0,004;0,023;0,015;-0,098;-0,131;-0,065;-0,049;-0,022;-0,013;-0,033;-0,013;-0,069;-0,017;0,010;-0,048;-0,025;-0,007;
2024-04-03;-0,006;0,025;0,013;-0,095;-0,130;-0,070;-0,051;-0,022;-0,013;-0,033;-0,014;-0,068;-0,018;0,008;-0,048;-0,025;-0,007;
2024-04-04;-0,012;0,025;0,007;-0,097;-0,136;-0,070;-0,056;-0,022;-0,011;-0,032;-0,015;-0,065;;0,004;-0,047;-0,025;-0,009;
2024-04-05;-0,007;0,024;0,011;-0,098;-0,132;-0,068;-0,054;-0,022;-0,015;-0,033;-0,015;-0,064;-0,018;0,007;-0,048;-0,025;-0,008;
2024-04-08;-0,010;0,026;0,007;-0,102;-0,134;-0,070;-0,059;-0,022;-0,012;-0,033;-0,017;-0,064;-0,017;0,006;-0,048;-0,025;-0,010;
2024-04-09;-0,009;0,024;0,009;-0,095;-0,133;-0,067;-0,062;-0,022;-0,016;-0,032;-0,018;-0,066;-0,017;0,006;-0,047;-0,025;-0,011;
2024-04-10;-0,007;0,024;0,010;-0,097;-0,131;-0,060;-0,057;-0,022;-0,015;-0,033;-0,019;-0,066;;0,005;-0,047;-0,025;-0,012;
2024-04-11;-0,003;0,023;0,013;-0,093;-0,126;-0,059;-0,057;-0,022;-0,018;-0,034;-0,019;-0,064;-0,012;0,006;-0,048;-0,025;-0,010;
2024-04-12;-0,003;0,025;0,014;-0,085;-0,127;-0,053;-0,048;-0,022;-0,017;-0,032;-0,018;-0,065;-0,009;0,006;-0,048;-0,025;-0,008;
2024-04-15;-0,008;0,024;0,011;-0,093;-0,134;-0,059;-0,059;-0,021;-0,016;-0,034;-0,017;-0,064;-0,011;0,002;-0,049;-0,025;-0,007;
2024-04-16;-0,009;0,019;0,011;-0,096;-0,133;-0,068;-0,063;-0,021;-0,023;-0,035;-0,017;-0,067;-0,018;-0,000;-0,050;-0,025;-0,007;
2024-04-17;-0,009;0,021;0,011;-0,093;-0,134;-0,062;-0,060;-0,021;-0,021;-0,035;-0,016;-0,067;-0,015;-0,002;-0,049;-0,025;-0,006;
2024-04-18;;;;;;-0,061;-0,061;-0,021;-0,021;;;;;;;;;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;-0,010;0,027;0,016;-0,092;-0,133;;;;;-0,034;-0,017;-0,060;-0,024;-0,002;-0,048;-0,024;-0,006;
2024-04-24;;;;;;-0,063;-0,055;-0,021;-0,017;;;;;;;;;
2024-04-25;-0,008;0,025;0,011;-0,090;-0,135;;;;;-0,036;-0,017;-0,068;-0,017;-0,001;-0,049;-0,024;-0,006;
2024-04-26;-0,003;0,035;0,013;-0,085;-0,126;-0,061;-0,049;-0,021;-0,012;-0,035;-0,016;-0,058;-0,010;0,003;-0,048;-0,024;-0,004;
2024-04-29;-0,002;0,037;0,015;-0,083;-0,130;-0,059;-0,049;-0,020;-0,008;;;;;;;;;
2024-04-30;-0,006;0,038;0,015;-0,082;-0,132;-0,059;-0,048;-0,020;-0,008;-0,035;-0,012;-0,055;-0,006;0,003;-0,048;-0,024;-0,002;
2024-05-02;-0,006;0,032;0,016;-0,083;-0,132;-0,059;-0,050;-0,020;-0,013;-0,034;-0,013;-0,054;-0,006;0,003;-0,048;-0,024;-0,003;
2024-05-03;;;;;;-0,059;-0,053;-0,020;-0,010;;;;;;-0,047;;;
2024-05-06;-0,002;0,036;0,014;-0,073;-0,126;;;;;-0,033;-0,012;-0,048;-0,004;0,010;;-0,023;-0,003;
2024-05-07;0,001;0,042;0,018;-0,071;-0,122;-0,056;-0,047;-0,019;-0,001;-0,032;-0,012;-0,047;-0,004;0,011;-0,046;-0,023;-0,003;
2024-05-08;0,003;0,043;0,020;-0,065;-0,120;-0,052;-0,044;-0,019;-0,000;-0,032;-0,009;-0,043;0,001;0,015;-0,045;-0,023;-0,000;
2024-05-10;0,005;;0,019;-0,060;-0,120;-0,054;-0,043;-0,019;0,008;-0,033;-0,010;-0,038;-0,001;0,017;-0,045;-0,023;-0,002;
2024-05-13;0,004;0,049;0,019;-0,061;-0,120;-0,051;-0,044;-0,019;0,008;-0,032;-0,010;-0,036;-0,002;0,019;-0,045;-0,023;-0,002;
2024-05-14;0,005;0,050;0,020;-0,060;-0,114;-0,051;-0,045;-0,019;0,010;-0,033;-0,009;-0,032;-0,000;0,021;-0,046;-0,023;-0,001;
2024-05-15;0,006;0,052;0,022;-0,064;-0,114;-0,052;-0,049;-0,019;0,012;-0,031;-0,010;-0,034;-0,001;0,021;-0,045;-0,023;-0,002;
2024-05-16;0,005;0,051;0,022;-0,060;-0,115;-0,052;-0,048;-0,018;0,009;-0,032;-0,011;-0,034;0,001;0,021;-0,044;-0,023;-0,004;
2024-05-17;;;;;;-0,052;-0,045;-0,018;0,007;-0,032;-0,011;-0,035;0,003;0,021;-0,044;-0,023;-0,003;
2024-05-20;;;;;;;;-0,018;0,013;-0,032;-0,011;-0,034;0,003;0,022;-0,044;-0,023;-0,004;
2024-05-21;0,006;0,051;0,020;-0,055;-0,114;-0,058;-0,045;-0,018;0,013;-0,032;-0,012;-0,035;0,005;0,020;-0,044;-0,023;-0,004;
2024-05-22;0,006;0,050;0,022;-0,058;-0,111;-0,056;-0,043;-0,018;0,013;-0,032;-0,013;-0,036;0,007;0,019;-0,044;-0,023;-0,005;
2024-05-23;0,003;0,052;0,019;-0,053;-0,113;-0,058;-0,042;-0,018;0,013;-0,033;-0,013;-0,036;0,008;0,019;-0,044;-0,023;-0,005;
2024-05-24;0,002;0,049;0,014;-0,051;-0,113;-0,062;-0,045;-0,018;0,012;-0,033;-0,013;-0,036;0,006;0,019;-0,044;-0,023;-0,004;
2024-05-27;;;;;;-0,060;;-0,018;0,011;;;;;;;;;
2024-05-28;-0,002;0,050;0,005;-0,047;-0,115;;;;;-0,032;-0,018;-0,043;0,001;0,012;-0,044;-0,022;-0,009;
2024-05-29;-0,002;0,047;0,005;-0,048;-0,115;-0,064;-0,047;-0,017;0,002;-0,034;-0,019;-0,049;0,001;0,011;-0,044;-0,022;-0,010;
2024-05-30;-0,005;0,048;0,004;-0,044;-0,119;-0,070;-0,048;-0,017;0,004;-0,033;-0,017;-0,047;-0,003;0,012;-0,044;-0,022;-0,008;
2024-05-31;;;;;;-0,076;-0,050;-0,017;0,007;;;;;;;;;
2024-06-03;-0,008;0,046;0,006;-0,050;-0,121;;;;;-0,032;-0,021;-0,049;-0,008;0,009;-0,043;-0,022;-0,012;
2024-06-04;-0,007;0,043;0,009;-0,063;-0,120;-0,080;-0,051;-0,017;0,004;-0,031;-0,022;-0,054;-0,018;0,009;-0,043;-0,022;-0,013;
2024-06-05;-0,004;;0,010;-0,060;-0,114;-0,079;-0,055;-0,017;0,008;-0,031;-0,022;-0,053;-0,019;0,009;-0,043;-0,022;-0,014;
2024-06-07;;;;;;-0,069;-0,044;-0,017;0,008;-0,032;-0,024;-0,057;-0,015;0,011;-0,043;-0,022;-0,016;
2024-06-10;-0,001;0,044;0,016;-0,059;-0,111;-0,070;-0,044;-0,016;0,004;-0,033;-0,021;-0,055;;0,008;-0,043;-0,022;-0,013;
2024-06-11;-0,001;0,041;0,015;-0,066;-0,111;-0,073;-0,049;;;-0,033;-0,024;-0,061;-0,016;0,005;-0,043;-0,022;-0,016;
2024-06-12;-0,005;0,045;0,008;-0,061;-0,113;-0,078;-0,051;-0,016;0,013;-0,031;-0,024;-0,057;-0,020;0,003;-0,043;-0,022;-0,017;
2024-06-13;0,000;0,042;0,013;-0,062;-0,110;-0,069;-0,045;-0,016;0,006;-0,031;-0,026;-0,063;-0,015;0,006;-0,043;-0,022;-0,017;
2024-06-14;0,002;0,038;0,016;-0,066;-0,109;-0,062;-0,041;-0,016;0,001;-0,031;-0,023;-0,066;-0,010;0,002;-0,044;-0,022;-0,015;
2024-06-17;0,004;0,036;0,013;-0,070;-0,108;-0,065;-0,045;-0,016;0,000;-0,032;-0,023;-0,066;;0,004;-0,044;-0,021;-0,015;
2024-06-18;0,002;0,038;0,011;-0,068;-0,110;-0,065;-0,045;-0,016;-0,000;-0,031;-0,025;-0,065;-0,009;0,003;-0,043;-0,021;-0,017;
2024-06-19;;0,036;;-0,067;;-0,060;-0,044;-0,016;-0,002;-0,031;;-0,070;-0,008;;-0,043;-0,021;-0,018;
2024-06-20;0,002;0,039;0,013;-0,065;-0,111;-0,060;-0,043;-0,016;0,003;-0,031;-0,025;-0,065;-0,006;0,005;-0,043;-0,021;-0,018;
2024-06-24;;;;;;-0,061;-0,043;-0,016;0,005;;;;;;;;;
2024-06-25;0,004;0,041;0,019;-0,069;-0,106;;;;;-0,030;-0,024;-0,066;-0,007;0,003;-0,042;-0,021;-0,017;
2024-06-26;0,006;0,040;0,020;-0,067;-0,104;-0,055;-0,037;-0,015;0,000;-0,031;-0,023;-0,069;-0,006;0,006;-0,042;-0,021;-0,015;
2024-06-27;0,008;0,040;0,022;-0,058;-0,100;-0,057;-0,038;-0,015;-0,000;-0,030;-0,021;-0,064;-0,005;0,007;-0,042;-0,021;-0,012;
2024-06-28;0,006;0,038;0,020;-0,054;-0,101;-0,056;-0,038;-0,015;0,002;-0,031;-0,019;-0,066;-0,002;0,005;-0,042;-0,021;-0,011;
2024-07-01;0,009;0,041;0,020;-0,054;-0,096;-0,058;-0,039;-0,015;0,004;-0,031;-0,020;-0,060;-0,002;0,005;-0,042;-0,021;-0,011;
2024-07-02;0,010;0,037;0,017;-0,055;-0,095;-0,059;-0,037;-0,015;0,001;-0,031;-0,018;-0,060;-0,002;0,004;-0,042;-0,020;-0,008;
2024-07-03;0,008;0,037;0,010;-0,053;-0,097;-0,060;-0,038;-0,015;0,003;-0,030;-0,020;-0,061;-0,001;0,004;-0,041;-0,020;-0,010;
2024-07-04;;0,040;;-0,057;;-0,056;-0,033;-0,015;0,005;-0,030;;-0,061;0,002;;-0,041;-0,020;-0,012;
2024-07-05;;;;;;-0,058;-0,030;-0,015;0,005;-0,029;-0,019;-0,062;0,003;0,005;-0,041;-0,020;-0,011;
2024-07-08;0,013;0,041;0,017;-0,056;-0,088;-0,056;-0,031;-0,015;0,007;-0,029;-0,018;-0,063;0,002;0,008;-0,040;-0,020;-0,010;
2024-07-09;0,014;0,038;0,018;-0,058;-0,089;-0,052;-0,031;-0,015;0,003;-0,029;-0,015;-0,065;0,004;0,003;-0,040;-0,020;-0,007;
2024-07-10;0,017;0,040;0,022;-0,062;-0,085;-0,051;-0,032;-0,015;0,004;-0,029;-0,016;-0,063;0,001;0,007;-0,040;-0,020;-0,008;
2024-07-11;0,013;0,041;0,023;-0,063;-0,092;-0,050;-0,034;-0,015;0,009;-0,027;-0,015;-0,061;0,006;0,015;-0,040;-0,020;-0,007;
2024-07-12;;;;;;-0,048;-0,027;-0,014;0,018;;;;;;;;;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;0,015;0,040;0,031;-0,053;-0,098;;;;;-0,027;-0,008;-0,063;-0,003;0,030;-0,039;-0,019;-0,000;
2024-07-22;0,021;0,046;0,036;-0,053;-0,090;-0,060;-0,023;-0,014;0,012;-0,027;-0,007;-0,057;-0,004;0,035;-0,038;-0,019;-0,000;
2024-07-23;0,022;0,047;0,037;-0,052;-0,089;-0,052;-0,022;-0,014;0,012;-0,026;-0,004;-0,055;-0,002;0,037;-0,038;-0,019;0,004;
2024-07-24;0,014;0,044;0,039;-0,053;-0,098;-0,053;-0,020;-0,014;0,007;-0,026;-0,003;-0,062;-0,001;0,032;-0,038;-0,019;0,005;
2024-07-25;;;;;;-0,056;-0,024;-0,014;0,004;;;;;;;;;
2024-07-26;0,017;0,044;0,040;-0,055;-0,097;;;;;-0,026;-0,002;-0,057;-0,002;0,039;-0,038;-0,019;0,006;
2024-07-29;0,018;0,045;0,041;-0,050;-0,096;-0,055;-0,018;-0,013;0,008;-0,025;-0,001;-0,054;-0,001;0,039;-0,037;-0,019;0,007;
2024-07-30;0,015;0,046;0,042;-0,051;-0,099;-0,057;-0,018;-0,013;0,011;-0,024;-0,002;-0,052;-0,003;0,038;-0,037;-0,019;0,006;
2024-07-31;0,019;0,049;0,038;-0,050;-0,093;-0,057;-0,022;-0,013;0,013;-0,024;;-0,054;-0,003;0,040;-0,036;-0,018;0,003;
2024-08-01;0,011;0,042;0,043;-0,051;-0,100;-0,055;-0,027;-0,013;0,003;-0,023;-0,006;-0,061;-0,005;0,032;-0,036;-0,018;0,001;
2024-08-02;;;;;;-0,072;-0,034;-0,013;-0,012;;;;;;;;;
2024-08-05;-0,018;0,012;0,024;-0,098;-0,135;;;;;-0,025;-0,005;-0,083;-0,043;0,001;-0,039;-0,018;0,000;
2024-08-06;-0,013;0,016;0,027;-0,088;-0,132;-0,083;-0,043;-0,013;-0,024;-0,024;-0,009;-0,085;-0,042;0,004;-0,038;-0,018;-0,003;
2024-08-07;-0,017;0,020;0,018;-0,076;-0,134;-0,077;-0,043;-0,013;-0,015;-0,025;-0,011;-0,078;-0,035;0,001;-0,037;-0,018;-0,005;
2024-08-08;-0,007;0,023;0,029;-0,077;-0,123;-0,076;-0,043;-0,013;-0,015;-0,024;-0,011;-0,074;-0,036;0,008;-0,037;-0,018;-0,005;
2024-08-09;-0,005;0,028;0,031;-0,076;-0,121;-0,070;-0,040;-0,013;-0,013;-0,024;-0,008;-0,070;-0,031;0,010;-0,037;-0,018;-0,002;
2024-08-12;-0,005;0,027;0,030;-0,070;-0,119;-0,068;-0,038;-0,013;-0,013;-0,024;-0,008;-0,070;-0,027;0,008;-0,036;-0,018;-0,002;
2024-08-13;;;;;;-0,067;-0,038;-0,013;-0,011;;;;;;;;;
2024-08-14;0,001;0,033;0,032;-0,065;-0,114;-0,068;-0,038;;;-0,023;-0,006;-0,063;-0,027;0,011;-0,036;-0,018;-0,001;
2024-08-15;0,009;0,038;0,038;-0,062;-0,103;;;-0,013;-0,003;-0,024;-0,005;-0,058;-0,025;0,019;-0,035;-0,018;-0,000;
2024-08-16;0,012;0,038;0,038;-0,063;-0,101;-0,053;-0,031;-0,012;-0,002;-0,023;-0,003;-0,058;-0,020;0,020;-0,035;-0,018;0,001;
2024-08-19;0,009;0,038;0,034;-0,064;-0,103;-0,053;-0,030;-0,012;0,000;-0,023;-0,004;-0,055;-0,020;0,018;-0,035;-0,018;-0,000;
2024-08-20;0,005;0,034;0,031;-0,068;-0,106;-0,059;-0,034;-0,012;-0,001;-0,022;-0,007;-0,060;-0,025;0,014;-0,034;-0,018;-0,004;
2024-08-21;0,006;0,033;0,031;-0,068;-0,106;-0,059;-0,034;-0,012;-0,002;-0,022;-0,008;-0,059;-0,029;0,017;-0,034;-0,017;-0,005;
2024-08-22;;;;;;-0,062;-0,032;-0,012;0,000;;;;;;;;;
2024-08-27;0,006;0,039;0,032;-0,065;-0,109;;;;;-0,022;-0,006;-0,056;-0,028;0,024;-0,033;-0,017;-0,004;
2024-08-28;;;;;;-0,061;-0,030;-0,011;0,005;-0,022;-0,008;-0,058;-0,031;0,024;-0,033;-0,017;-0,006;
2024-08-29;0,007;0,044;0,035;-0,060;-0,106;-0,061;-0,032;-0,011;0,008;-0,022;-0,009;-0,054;-0,031;0,026;-0,032;-0,017;-0,007;
2024-08-30;0,010;0,046;0,037;-0,059;-0,102;-0,055;-0,028;-0,011;0,009;-0,022;-0,009;-0,052;-0,028;0,029;-0,032;-0,017;-0,007;
2024-09-02;;0,046;;-0,064;;;-0,030;-0,011;0,008;-0,023;;-0,051;-0,029;;-0,032;-0,017;-0,006;
2024-09-03;0,006;0,042;0,038;-0,078;-0,111;-0,059;-0,033;-0,011;0,002;-0,022;-0,007;-0,055;-0,030;0,025;-0,032;-0,017;-0,005;
2024-09-04;;;;;;-0,064;-0,033;-0,011;-0,002;;;;;;;;;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;0,024;0,042;0,018;-0,064;-0,097;;;;;-0,018;-0,006;-0,056;-0,018;0,024;-0,027;-0,015;-0,002;
2024-10-11;0,025;0,045;0,021;-0,064;-0,097;-0,022;-0,040;-0,009;0,010;-0,018;-0,005;-0,053;-0,016;0,026;-0,027;-0,015;-0,001;
2024-10-14;0,030;0,046;0,025;-0,066;-0,092;-0,016;-0,037;-0,009;0,011;-0,018;;-0,055;-0,017;0,030;-0,026;-0,015;-0,001;
2024-10-15;0,025;0,043;0,019;-0,074;-0,092;-0,021;-0,041;-0,009;0,008;-0,017;-0,006;-0,059;-0,023;0,031;-0,026;-0,015;-0,001;
2024-10-16;0,030;0,044;0,024;-0,074;-0,089;-0,018;-0,035;-0,009;0,007;-0,016;-0,005;-0,060;-0,020;0,037;-0,025;-0,015;-0,001;
2024-10-17;0,032;0,046;0,027;-0,072;-0,087;-0,019;-0,035;-0,008;0,008;-0,016;-0,003;-0,055;-0,018;0,038;-0,025;-0,014;0,002;
2024-10-18;0,034;0,046;0,030;-0,074;-0,084;-0,011;-0,033;-0,008;0,010;-0,015;-0,004;-0,052;-0,018;0,037;-0,025;-0,014;0,001;
2024-10-21;0,034;0,044;0,026;-0,073;-0,083;-0,014;-0,031;-0,008;0,006;-0,016;-0,004;-0,052;-0,015;0,032;-0,025;-0,014;0,002;
2024-10-22;0,032;0,041;0,024;-0,074;-0,084;-0,018;-0,034;-0,008;0,004;-0,017;-0,006;-0,055;-0,016;0,027;-0,025;-0,014;0,001;
2024-10-23;0,031;0,042;0,026;-0,077;-0,084;-0,015;-0,030;-0,008;0,003;-0,016;-0,006;-0,057;-0,016;0,027;-0,025;-0,014;0,001;
2024-10-24;0,031;0,039;0,023;-0,077;-0,084;-0,020;-0,034;-0,008;0,001;-0,016;-0,005;-0,058;-0,019;0,027;-0,025;-0,014;0,002;
2024-10-25;;;;;;-0,020;-0,032;-0,008;0,004;;;;;;;;;
2024-10-28;0,034;0,047;0,023;-0,072;-0,076;;;;;-0,016;-0,004;-0,052;-0,017;0,034;-0,025;-0,014;0,004;
2024-10-29;0,035;0,042;0,023;-0,069;-0,073;-0,014;-0,028;-0,008;0,007;-0,016;-0,002;-0,055;-0,016;0,031;-0,025;-0,014;0,006;
2024-10-30;0,034;0,041;0,023;-0,068;-0,074;-0,015;-0,026;-0,008;-0,000;-0,018;-0,002;-0,060;-0,019;0,031;-0,025;-0,014;0,006;
2024-10-31;0,029;0,037;0,020;-0,073;-0,082;-0,015;-0,025;-0,008;-0,005;-0,018;0,000;-0,064;-0,017;0,027;-0,025;-0,014;0,008;
2024-11-01;0,031;0,042;0,024;-0,073;-0,078;;;-0,007;-0,004;-0,018;0,001;-0,059;-0,015;0,031;-0,025;-0,014;0,009;
2024-11-04;;;;;;-0,011;-0,024;-0,007;-0,002;;;;;;;;;
2024-11-05;0,035;0,042;0,022;-0,074;-0,077;;;;;-0,018;0,002;-0,059;-0,015;0,035;-0,025;-0,014;0,010;
2024-11-06;0,047;0,034;0,023;-0,076;-0,067;-0,007;-0,017;-0,007;-0,003;-0,016;0,002;-0,064;-0,009;0,046;-0,024;-0,013;0,012;
2024-11-07;;;;;;-0,006;-0,025;-0,007;0,004;;;;;;;;;
2024-11-08;0,050;0,036;0,026;-0,072;-0,066;;;;;-0,016;0,000;-0,065;-0,011;0,046;-0,024;-0,013;0,008;
2024-11-11;;;;;;-0,008;-0,016;-0,007;0,003;;;;;;;;;
2024-11-12;0,053;0,030;0,025;-0,071;-0,067;;;;;-0,015;0,000;-0,071;-0,018;0,045;-0,024;-0,013;0,009;
2024-11-13;0,054;0,030;0,026;-0,073;-0,069;-0,021;-0,015;-0,007;-0,010;-0,016;0,000;-0,071;-0,019;0,045;-0,024;-0,013;0,009;
2024-11-14;;;;;;-0,022;-0,019;-0,007;-0,007;;;;;;;;;
2024-11-15;0,049;0,026;0,013;-0,069;-0,072;;;;;-0,015;0,000;-0,068;-0,020;0,039;-0,023;-0,013;0,010;
2024-11-18;0,048;0,023;0,010;-0,069;-0,070;-0,020;-0,019;-0,006;-0,016;-0,015;0,000;-0,071;-0,020;0,038;-0,023;-0,013;0,010;
2024-11-19;0,050;0,022;0,011;-0,067;-0,069;-0,020;-0,024;-0,006;-0,020;-0,015;-0,001;-0,077;-0,018;0,036;-0,023;-0,013;0,009;
2024-11-20;0,053;0,024;0,018;-0,067;-0,068;-0,018;-0,017;-0,006;-0,022;-0,015;-0,000;-0,077;-0,017;0,040;-0,023;-0,013;0,010;
2024-11-21;0,055;0,024;0,020;-0,068;-0,067;-0,021;-0,021;-0,006;-0,020;-0,015;0,001;-0,076;-0,014;0,043;-0,023;-0,013;0,010;
2024-11-22;0,057;0,028;0,023;-0,066;-0,065;-0,019;-0,016;-0,006;-0,015;-0,014;0,001;-0,073;-0,011;0,047;-0,023;-0,013;0,011;
2024-11-25;0,057;0,028;0,025;-0,070;-0,062;-0,020;-0,015;-0,006;-0,013;-0,014;0,002;-0,070;-0,012;0,051;-0,023;-0,012;0,011;
2024-11-26;0,058;0,025;0,028;-0,076;-0,057;-0,019;-0,016;-0,006;-0,016;-0,013;0,000;-0,077;-0,014;0,048;-0,023;-0,012;0,009;
2024-11-27;0,054;;0,026;;-0,064;-0,021;-0,015;-0,006;-0,015;;-0,000;;;0,045;;;;
2024-11-28;;0,028;;-0,075;;;;;;-0,012;;-0,075;-0,021;;-0,022;-0,012;0,009;
2024-11-29;0,057;0,030;0,028;-0,074;-0,064;-0,025;-0,022;-0,006;-0,011;-0,012;0,001;-0,076;-0,020;0,047;-0,022;-0,012;0,009;
2024-12-02;0,062;0,035;0,032;-0,075;-0,058;-0,021;-0,014;-0,006;-0,006;-0,011;0,001;-0,073;-0,015;0,051;-0,022;-0,012;0,010;
2024-12-03;0,063;0,038;0,031;-0,070;-0,057;-0,018;-0,016;-0,006;-0,003;-0,011;0,002;-0,069;-0,013;0,051;-0,022;-0,012;0,011;
2024-12-04;0,063;0,038;0,029;-0,068;-0,054;-0,019;-0,016;-0,006;0,002;-0,010;0,003;-0,068;-0,010;0,048;-0,021;-0,012;0,012;
2024-12-05;0,060;0,037;0,023;-0,070;-0,055;-0,021;-0,013;-0,006;0,002;;;;;;;;;
2024-12-06;;;;;;-0,019;-0,009;-0,006;0,005;;;;;;;;;
2024-12-09;0,059;0,038;0,025;-0,070;-0,054;;;;;-0,010;0,002;-0,067;-0,009;0,048;-0,020;-0,012;0,011;
2024-12-10;0,061;0,036;0,026;-0,071;-0,050;-0,015;-0,009;-0,005;0,002;-0,010;0,002;-0,070;-0,007;0,047;-0,020;-0,012;0,011;
2024-12-11;;;;;;-0,017;-0,010;-0,005;0,003;;;;;;;;;
2024-12-12;0,063;0,036;0,022;-0,070;-0,044;;;;;-0,011;0,001;-0,068;-0,006;0,044;-0,020;-0,012;0,011;
2024-12-13;0,061;0,033;0,018;-0,069;-0,048;-0,014;-0,012;-0,005;-0,002;-0,011;0,001;-0,072;-0,008;0,040;-0,020;-0,012;0,010;
2024-12-16;0,058;0,031;0,014;-0,077;-0,050;-0,017;-0,014;-0,005;-0,004;-0,011;0,001;-0,074;-0,013;0,033;-0,020;-0,012;0,010;
2024-12-17;0,058;0,029;0,016;-0,080;-0,050;-0,019;-0,015;-0,005;-0,005;-0,011;-0,003;-0,079;-0,015;0,032;-0,020;-0,012;0,008;
2024-12-18;0,049;0,030;0,013;-0,078;-0,056;-0,019;-0,017;-0,005;-0,002;-0,011;-0,003;-0,080;-0,012;0,025;-0,020;-0,012;0,009;
2024-12-19;0,048;0,019;0,008;-0,084;-0,060;-0,022;-0,019;-0,005;-0,013;-0,012;-0,004;-0,085;-0,013;0,023;-0,021;-0,012;0,009;
2024-12-20;;;;;;-0,025;-0,015;-0,005;-0,013;;;;;;;;;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;0,060;0,034;0,019;-0,072;-0,040;;;;;-0,010;-0,010;-0,048;-0,007;0,030;-0,015;-0,009;0,001;
2025-02-19;0,061;0,028;0,022;-0,066;-0,038;-0,031;-0,010;-0,001;0,029;-0,011;-0,012;-0,054;-0,008;0,028;-0,015;-0,009;-0,000;
2025-02-20;0,057;0,029;0,023;-0,068;-0,042;-0,032;-0,017;-0,001;0,030;-0,010;-0,012;-0,053;-0,010;0,024;-0,015;-0,009;-0,001;
2025-02-21;0,050;0,030;0,023;-0,067;-0,048;-0,031;-0,018;-0,001;0,028;-0,009;-0,011;-0,053;-0,008;0,019;-0,015;-0,009;-0,001;
2025-02-24;;;;;;-0,039;-0,016;-0,001;0,027;;;;;;;;;
2025-02-25;0,046;0,030;0,026;-0,073;-0,057;;;;;-0,009;-0,010;-0,051;-0,015;0,019;-0,015;-0,009;-0,001;
2025-02-26;0,047;0,034;0,024;-0,078;-0,056;-0,038;-0,018;-0,001;0,033;-0,009;-0,010;-0,049;-0,013;0,018;-0,014;-0,009;-0,001;
2025-02-27;0,045;0,029;0,025;-0,081;-0,061;-0,038;-0,017;-0,001;0,028;-0,009;-0,008;-0,054;-0,010;0,017;-0,014;-0,009;0,001;
2025-02-28;0,050;0,027;0,028;-0,081;-0,061;-0,047;-0,017;-0,001;0,026;-0,009;-0,008;-0,056;;0,016;-0,014;-0,009;0,001;
2025-03-03;0,038;0,026;0,022;-0,084;-0,070;-0,052;-0,022;-0,001;0,027;-0,009;-0,008;-0,054;-0,022;0,009;-0,014;-0,009;-0,000;
2025-03-04;0,032;0,012;0,018;-0,104;-0,076;-0,057;-0,030;-0,001;0,012;-0,009;-0,011;-0,064;-0,026;0,003;-0,014;-0,009;-0,003;
2025-03-05;0,026;0,020;0,011;-0,103;-0,079;-0,059;-0,037;-0,000;0,020;-0,013;-0,012;-0,059;-0,031;0,000;-0,015;-0,009;-0,005;
2025-03-06;;;;;;-0,058;-0,041;-0,001;0,018;;;;;;;;;
2025-03-10;0,006;0,009;-0,007;-0,105;-0,099;;;;;-0,014;-0,017;-0,060;-0,042;-0,005;-0,017;-0,009;-0,011;
2025-03-11;;;;;;-0,072;-0,048;-0,000;0,002;;;;;;;;;
2025-03-12;0,002;0,001;-0,017;-0,099;-0,098;;;;;-0,015;-0,016;-0,062;-0,044;-0,013;-0,018;-0,009;-0,009;
2025-03-13;;;;;;-0,066;-0,044;-0,000;0,004;;;;;;;;;
2025-03-14;0,008;0,011;-0,011;-0,089;-0,091;;;;;-0,015;-0,014;-0,056;-0,035;-0,008;-0,019;-0,009;-0,007;
2025-03-17;;;;;;-0,058;-0,042;-0,000;0,011;;;;;;;;;
2025-03-18;0,005;0,015;-0,009;-0,078;-0,094;;;;;-0,014;-0,016;-0,053;-0,034;-0,006;-0,018;-0,009;-0,008;
2025-03-19;0,013;0,016;-0,005;-0,071;-0,087;-0,052;-0,046;-0,000;0,010;-0,014;-0,015;-0,052;-0,033;-0,000;-0,018;-0,009;-0,007;
2025-03-20;0,012;0,014;-0,005;-0,070;-0,086;-0,053;-0,043;-0,000;0,009;-0,014;-0,014;-0,053;-0,032;-0,002;-0,017;-0,009;-0,007;
