
# ;[];[];[];[];[];[];[];[];[];[];
# ;öhman global growth a;öhman kort ränta a;öhman marknad pacific a;öhman marknad sverige bred a;öhman marknad usa a;öhman obligationsfond a;öhman realräntefond a;öhman småbolagsfond a;öhman sverige a;öhman sweden micro cap;
2023-10-10;-0,151;-0,029;-0,085;-0,117;-0,129;-0,042;-0,023;-0,135;-0,115;-0,142;
2023-10-11;-0,150;-0,029;-0,082;-0,116;-0,127;-0,041;-0,022;-0,137;-0,114;-0,144;
2023-10-12;;;;;;;;;;;
2023-10-13;-0,152;-0,029;-0,085;-0,119;-0,127;-0,041;-0,022;-0,144;-0,117;-0,152;
2023-10-16;-0,154;-0,028;-0,089;-0,119;-0,126;-0,042;-0,023;-0,146;-0,117;-0,154;
2023-10-17;-0,152;-0,028;-0,086;-0,124;-0,127;-0,043;-0,023;-0,153;-0,122;-0,160;
2023-10-18;-0,154;-0,028;-0,083;-0,130;-0,129;-0,043;-0,023;-0,161;-0,129;-0,169;
2023-10-19;-0,160;-0,028;-0,094;-0,134;-0,135;-0,044;-0,023;-0,164;-0,134;-0,171;
2023-10-20;-0,167;-0,028;-0,097;-0,142;-0,141;-0,043;-0,022;-0,167;-0,142;-0,174;
2023-10-23;-0,166;-0,028;-0,098;-0,145;-0,139;-0,044;-0,022;-0,168;-0,143;-0,175;
2023-10-24;-0,158;-0,028;-0,092;-0,142;-0,133;-0,043;-0,023;-0,163;-0,141;-0,170;
2023-10-25;-0,168;-0,028;-0,094;-0,144;-0,140;-0,043;-0,023;-0,170;-0,143;-0,175;
2023-10-26;;;;;;;;;;;
2023-10-27;-0,177;-0,028;-0,095;-0,146;-0,146;-0,042;-0,023;-0,165;-0,144;-0,169;
2023-10-30;;;;;;;;;;;
2023-10-31;-0,170;-0,028;-0,096;-0,139;-0,136;-0,040;-0,022;-0,151;-0,136;-0,155;
2023-11-01;-0,162;-0,028;-0,090;-0,139;-0,129;-0,040;-0,022;-0,151;-0,136;-0,155;
2023-11-02;-0,157;-0,027;-0,085;-0,129;-0,124;-0,039;-0,021;-0,138;-0,125;-0,143;
2023-11-03;;;;;;;;;;;
2023-11-06;-0,156;-0,027;-0,081;-0,126;-0,128;-0,038;-0,022;-0,135;-0,121;-0,141;
2023-11-07;-0,154;-0,027;-0,086;-0,127;-0,124;-0,038;-0,021;-0,136;-0,122;-0,142;
2023-11-08;-0,156;-0,027;-0,088;-0,127;-0,125;-0,038;-0,021;-0,137;-0,122;-0,143;
2023-11-09;-0,156;-0,027;-0,087;-0,121;-0,130;-0,038;-0,021;-0,127;-0,116;-0,133;
2023-11-10;-0,150;-0,027;-0,091;-0,126;-0,119;-0,039;-0,022;-0,131;-0,121;-0,137;
2023-11-13;-0,151;-0,027;-0,093;-0,125;-0,123;-0,039;-0,022;-0,132;-0,121;-0,138;
2023-11-14;-0,149;-0,027;-0,093;-0,111;-0,122;-0,037;-0,020;-0,110;-0,105;-0,117;
2023-11-15;-0,148;-0,027;-0,087;-0,108;-0,127;-0,037;-0,020;-0,112;-0,102;-0,118;
2023-11-16;;;;;;;;;;;
2023-11-17;-0,149;-0,027;-0,090;-0,107;-0,124;-0,035;-0,019;-0,109;-0,102;-0,115;
2023-11-20;-0,148;-0,027;-0,091;-0,105;-0,124;-0,035;-0,018;-0,106;-0,100;-0,111;
2023-11-21;-0,149;-0,027;-0,092;-0,108;-0,126;-0,035;-0,018;-0,111;-0,102;-0,117;
2023-11-22;-0,144;-0,027;-0,089;-0,104;-0,120;-0,035;-0,018;-0,106;-0,099;-0,111;
2023-11-23;;-0,026;-0,090;-0,102;;-0,036;-0,019;-0,104;-0,097;-0,110;
2023-11-24;-0,149;-0,026;-0,092;-0,101;-0,124;-0,036;-0,019;-0,104;-0,096;-0,109;
2023-11-27;-0,149;-0,026;-0,093;-0,102;-0,124;-0,034;-0,018;-0,105;-0,097;-0,109;
2023-11-28;-0,152;-0,026;-0,094;-0,105;-0,127;-0,034;-0,017;-0,108;-0,100;-0,112;
2023-11-29;-0,152;-0,026;-0,095;-0,100;-0,128;-0,032;-0,016;-0,102;-0,096;-0,108;
2023-11-30;;;;;;;;;;;
2023-12-01;-0,147;-0,026;-0,090;-0,097;-0,120;-0,030;-0,015;-0,100;-0,093;-0,105;
2023-12-04;-0,148;-0,025;-0,089;-0,097;-0,122;-0,029;-0,013;-0,102;-0,093;-0,107;
2023-12-05;-0,150;-0,025;-0,096;-0,093;-0,121;-0,027;-0,011;-0,095;-0,089;-0,100;
2023-12-06;-0,152;-0,025;-0,091;-0,088;-0,124;-0,027;-0,011;-0,089;-0,083;-0,096;
2023-12-07;-0,150;-0,025;-0,092;-0,089;-0,121;-0,027;-0,011;-0,089;-0,083;-0,097;
2023-12-08;-0,146;-0,025;-0,089;-0,086;-0,118;-0,027;-0,012;-0,087;-0,081;-0,093;
2023-12-11;-0,143;-0,025;-0,088;-0,082;-0,114;-0,027;-0,012;-0,085;-0,076;-0,091;
2023-12-12;;;;;;;;;;;
2023-12-13;-0,140;-0,025;-0,087;-0,086;-0,108;-0,026;-0,010;-0,088;-0,081;-0,094;
2023-12-14;-0,144;-0,025;-0,083;-0,073;-0,117;-0,024;-0,010;-0,069;-0,067;-0,076;
2023-12-15;-0,139;-0,025;-0,076;-0,069;-0,115;-0,022;-0,009;-0,066;-0,063;-0,072;
2023-12-18;-0,142;-0,024;-0,081;-0,072;-0,115;-0,022;-0,009;-0,068;-0,066;-0,075;
2023-12-19;-0,141;-0,024;-0,077;-0,069;-0,115;-0,021;-0,007;-0,065;-0,064;-0,070;
2023-12-20;-0,145;-0,024;-0,075;-0,069;-0,122;-0,020;-0,006;-0,066;-0,064;-0,071;
2023-12-21;-0,142;-0,024;-0,077;-0,072;-0,119;-0,021;-0,006;-0,067;-0,066;-0,073;
2023-12-22;-0,146;-0,024;-0,079;-0,071;-0,122;-0,021;-0,006;-0,064;-0,065;-0,071;
2023-12-27;-0,146;-0,024;-0,078;-0,068;-0,124;-0,020;-0,005;-0,062;-0,063;-0,068;
2023-12-28;-0,143;-0,024;-0,072;-0,068;-0,122;-0,021;-0,006;-0,062;-0,063;-0,068;
2023-12-29;;;;;;;;;;;
2024-01-02;-0,140;-0,024;-0,066;-0,069;-0,116;-0,021;-0,007;-0,066;-0,064;-0,072;
2024-01-03;-0,144;-0,024;-0,070;-0,077;-0,116;-0,021;-0,008;-0,076;-0,072;-0,080;
2024-01-04;;;;;;;;;;;
2024-01-05;-0,150;-0,024;-0,075;-0,081;-0,121;-0,023;-0,010;-0,077;-0,076;-0,080;
2024-01-08;-0,141;-0,024;-0,078;-0,076;-0,112;-0,023;-0,010;-0,072;-0,071;-0,075;
2024-01-09;-0,138;-0,024;-0,074;-0,079;-0,110;-0,024;-0,011;-0,072;-0,074;-0,075;
2024-01-10;-0,137;-0,024;-0,079;-0,079;-0,110;-0,024;-0,012;-0,071;-0,074;-0,075;
2024-01-11;-0,131;-0,024;-0,075;-0,082;-0,106;-0,024;-0,011;-0,076;-0,076;-0,080;
2024-01-12;-0,131;-0,023;-0,074;-0,076;-0,107;-0,022;-0,009;-0,070;-0,071;-0,073;
2024-01-15;;-0,023;-0,074;-0,081;;-0,023;-0,009;-0,079;-0,077;-0,082;
2024-01-16;-0,126;-0,023;-0,078;-0,084;-0,101;-0,023;-0,009;-0,079;-0,080;-0,081;
2024-01-17;-0,127;-0,023;-0,081;-0,089;-0,100;-0,024;-0,010;-0,084;-0,085;-0,087;
2024-01-18;-0,123;-0,023;-0,082;-0,088;-0,096;-0,025;-0,010;-0,083;-0,083;-0,086;
2024-01-19;-0,117;-0,023;-0,077;-0,090;-0,090;-0,025;-0,010;-0,089;-0,085;-0,092;
2024-01-22;-0,116;-0,023;-0,077;-0,086;-0,091;-0,025;-0,009;-0,086;-0,081;-0,088;
2024-01-23;-0,114;-0,023;-0,073;-0,084;-0,087;-0,025;-0,011;-0,084;-0,080;-0,086;
2024-01-24;-0,115;-0,023;-0,073;-0,081;-0,090;-0,025;-0,011;-0,080;-0,077;-0,082;
2024-01-25;-0,113;-0,023;-0,070;-0,079;-0,086;-0,024;-0,011;-0,078;-0,075;-0,080;
2024-01-26;;;;;;;;;;;
2024-01-29;-0,110;-0,023;-0,067;-0,077;-0,082;-0,024;-0,011;-0,075;-0,073;-0,078;
2024-01-30;-0,113;-0,023;-0,070;-0,076;-0,084;-0,024;-0,011;-0,074;-0,072;-0,075;
2024-01-31;-0,123;-0,023;-0,071;-0,077;-0,096;-0,023;-0,009;-0,071;-0,072;-0,074;
2024-02-01;-0,115;-0,023;-0,073;-0,076;-0,087;-0,022;-0,009;-0,077;-0,073;-0,078;
2024-02-02;-0,109;-0,023;-0,068;-0,076;-0,079;-0,023;-0,009;-0,080;-0,073;-0,080;
2024-02-05;;;;;;;;;;;
2024-02-06;-0,106;-0,023;-0,070;-0,077;-0,077;-0,024;-0,011;-0,081;-0,074;-0,081;
2024-02-07;-0,106;-0,023;-0,070;-0,076;-0,077;-0,024;-0,012;-0,080;-0,073;-0,079;
2024-02-08;-0,103;-0,023;-0,070;-0,075;-0,075;-0,025;-0,013;-0,075;-0,073;-0,073;
2024-02-09;-0,099;-0,023;-0,069;-0,077;-0,073;-0,026;-0,014;-0,078;-0,075;-0,075;
2024-02-12;-0,100;-0,023;-0,072;-0,073;-0,076;-0,026;-0,014;-0,074;-0,072;-0,071;
2024-02-13;-0,098;-0,023;-0,070;-0,077;-0,075;-0,027;-0,014;-0,078;-0,075;-0,075;
2024-02-14;-0,094;-0,023;-0,072;-0,075;-0,073;-0,027;-0,014;-0,074;-0,074;-0,071;
2024-02-15;-0,098;-0,022;-0,069;-0,071;-0,074;-0,026;-0,013;-0,071;-0,069;-0,069;
2024-02-16;-0,101;-0,022;-0,064;-0,067;-0,077;-0,027;-0,013;-0,069;-0,067;-0,067;
2024-02-19;;-0,022;-0,067;-0,067;;-0,027;-0,012;-0,072;-0,066;-0,070;
2024-02-20;-0,111;-0,022;-0,067;-0,068;-0,084;-0,027;-0,011;-0,076;-0,067;-0,074;
2024-02-21;-0,113;-0,022;-0,067;-0,068;-0,083;-0,027;-0,012;-0,079;-0,068;-0,077;
2024-02-22;-0,103;-0,022;-0,068;-0,065;-0,075;-0,027;-0,012;-0,075;-0,066;-0,073;
2024-02-23;-0,104;-0,022;-0,067;-0,064;-0,075;-0,027;-0,012;-0,075;-0,064;-0,073;
2024-02-26;;;;;;;;;;;
2024-02-27;-0,106;-0,022;-0,068;-0,063;-0,077;-0,028;-0,013;-0,071;-0,064;-0,069;
2024-02-28;-0,106;-0,022;-0,068;-0,062;-0,076;-0,028;-0,013;-0,072;-0,064;-0,070;
2024-02-29;-0,102;-0,022;-0,065;-0,061;-0,074;-0,027;-0,012;-0,070;-0,064;-0,069;
2024-03-01;-0,098;-0,022;-0,066;-0,057;-0,071;-0,027;-0,012;-0,063;-0,060;-0,062;
2024-03-04;-0,093;-0,022;-0,064;-0,060;-0,069;-0,026;-0,011;-0,068;-0,062;-0,066;
2024-03-05;;;;;;;;;;;
2024-03-06;-0,097;-0,021;-0,066;-0,059;-0,075;-0,025;-0,010;-0,072;-0,061;-0,069;
2024-03-07;-0,095;-0,021;-0,064;-0,057;-0,072;-0,024;-0,009;-0,068;-0,059;-0,067;
2024-03-08;-0,098;-0,021;-0,060;-0,053;-0,078;-0,022;-0,007;-0,064;-0,055;-0,064;
2024-03-11;-0,100;-0,021;-0,064;-0,054;-0,076;-0,023;-0,008;-0,066;-0,056;-0,066;
2024-03-12;-0,094;-0,021;-0,062;-0,048;-0,071;-0,023;-0,008;-0,062;-0,050;-0,061;
2024-03-13;-0,097;-0,021;-0,059;-0,047;-0,072;-0,023;-0,008;-0,062;-0,049;-0,060;
2024-03-14;-0,095;-0,021;-0,059;-0,047;-0,069;-0,024;-0,011;-0,063;-0,050;-0,060;
2024-03-15;-0,100;-0,021;-0,062;-0,046;-0,071;-0,025;-0,012;-0,065;-0,049;-0,062;
2024-03-18;-0,093;-0,021;-0,061;-0,050;-0,066;-0,025;-0,012;-0,067;-0,054;-0,064;
2024-03-19;-0,094;-0,021;-0,063;-0,048;-0,063;-0,025;-0,012;-0,065;-0,052;-0,062;
2024-03-20;-0,089;-0,021;-0,062;-0,047;-0,057;-0,025;-0,012;-0,065;-0,050;-0,061;
2024-03-21;-0,086;-0,021;-0,056;-0,038;-0,056;-0,024;-0,010;-0,055;-0,042;-0,052;
2024-03-22;-0,082;-0,020;-0,055;-0,037;-0,053;-0,023;-0,009;-0,056;-0,042;-0,052;
2024-03-25;;;;;;;;;;;
2024-03-26;-0,082;-0,020;-0,053;-0,035;-0,055;-0,024;-0,010;-0,051;-0,040;-0,047;
2024-03-27;-0,079;-0,020;-0,051;-0,035;-0,051;-0,023;-0,009;-0,046;-0,037;-0,043;
2024-03-28;-0,076;-0,020;-0,045;-0,037;-0,047;-0,023;-0,009;-0,046;-0,039;-0,042;
2024-04-02;-0,076;-0,020;-0,044;-0,039;-0,051;-0,025;-0,011;-0,051;-0,041;-0,045;
2024-04-03;-0,079;-0,020;-0,052;-0,039;-0,053;-0,025;-0,011;-0,050;-0,040;-0,044;
2024-04-04;-0,085;-0,020;-0,050;-0,037;-0,062;-0,025;-0,010;-0,048;-0,039;-0,041;
2024-04-05;-0,081;-0,020;-0,051;-0,041;-0,054;-0,025;-0,010;-0,053;-0,043;-0,047;
2024-04-08;-0,084;-0,020;-0,053;-0,038;-0,058;-0,026;-0,012;-0,048;-0,040;-0,042;
2024-04-09;-0,082;-0,020;-0,050;-0,040;-0,057;-0,025;-0,011;-0,051;-0,042;-0,045;
2024-04-10;-0,079;-0,020;-0,048;-0,040;-0,056;-0,026;-0,011;-0,056;-0,043;-0,049;
2024-04-11;-0,073;-0,020;-0,048;-0,043;-0,049;-0,026;-0,011;-0,056;-0,046;-0,049;
2024-04-12;-0,074;-0,019;-0,048;-0,043;-0,050;-0,024;-0,009;-0,058;-0,046;-0,050;
2024-04-15;-0,082;-0,019;-0,053;-0,041;-0,056;-0,025;-0,011;-0,059;-0,045;-0,052;
2024-04-16;-0,082;-0,020;-0,062;-0,048;-0,055;-0,026;-0,012;-0,064;-0,050;-0,057;
2024-04-17;-0,083;-0,019;-0,058;-0,046;-0,056;-0,026;-0,011;-0,067;-0,049;-0,058;
2024-04-18;-0,086;-0,019;-0,057;-0,045;-0,059;-0,026;-0,010;-0,066;-0,047;-0,059;
2024-04-22;;;;;;;;;;;
2024-04-23;;;;;;;;;;;
2024-04-24;-0,087;-0,019;-0,050;-0,041;-0,057;-0,026;-0,010;-0,053;-0,040;-0,049;
2024-04-25;;;;;;;;;;;
2024-04-26;-0,081;-0,019;-0,047;-0,038;-0,051;-0,026;-0,009;-0,046;-0,035;-0,042;
2024-04-29;-0,082;-0,019;-0,042;-0,035;-0,052;-0,025;-0,009;-0,038;-0,032;-0,036;
2024-04-30;-0,086;-0,019;-0,042;-0,035;-0,057;-0,025;-0,009;-0,037;-0,031;-0,033;
2024-05-02;-0,085;-0,019;-0,043;-0,040;-0,056;-0,025;-0,009;-0,041;-0,037;-0,038;
2024-05-03;-0,084;-0,018;-0,040;-0,036;-0,054;-0,024;-0,007;-0,036;-0,034;-0,033;
2024-05-06;;;;;;;;;;;
2024-05-07;-0,079;-0,018;-0,033;-0,027;-0,049;-0,022;-0,006;-0,029;-0,026;-0,026;
2024-05-08;-0,078;-0,018;-0,033;-0,027;-0,046;-0,022;-0,007;-0,028;-0,026;-0,024;
2024-05-10;-0,081;-0,018;-0,032;-0,020;-0,044;-0,022;-0,007;-0,023;-0,020;-0,018;
2024-05-13;-0,080;-0,018;-0,032;-0,020;-0,046;-0,022;-0,006;-0,023;-0,020;-0,018;
2024-05-14;-0,077;-0,018;-0,034;-0,017;-0,044;-0,022;-0,007;-0,014;-0,017;-0,009;
2024-05-15;-0,075;-0,018;-0,035;-0,016;-0,042;-0,021;-0,006;-0,013;-0,018;-0,008;
2024-05-16;-0,074;-0,018;-0,028;-0,018;-0,043;-0,021;-0,006;-0,015;-0,020;-0,009;
2024-05-17;-0,075;-0,017;-0,030;-0,019;-0,043;-0,021;-0,007;-0,016;-0,021;-0,008;
2024-05-20;-0,073;-0,017;-0,030;-0,014;-0,043;-0,021;-0,007;-0,013;-0,018;-0,005;
2024-05-21;-0,074;-0,017;-0,034;-0,014;-0,042;-0,021;-0,006;-0,014;-0,018;-0,006;
2024-05-22;-0,073;-0,017;-0,034;-0,013;-0,042;-0,021;-0,007;-0,013;-0,017;-0,005;
2024-05-23;-0,075;-0,017;-0,035;-0,013;-0,044;-0,023;-0,009;-0,012;-0,018;-0,004;
