
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2022-11-07;-0,079;-0,135;-0,081;;-0,136;-0,080;-0,049;-0,009;-0,063;-0,146;-0,104;-0,003;-0,131;-0,130;-0,286;-0,028;-0,075;
2022-11-08;-0,079;-0,132;-0,072;;-0,132;-0,079;-0,049;-0,008;-0,059;-0,143;-0,103;-0,003;-0,126;-0,125;-0,284;-0,030;-0,073;
2022-11-09;-0,079;-0,131;-0,072;;-0,132;-0,081;-0,047;-0,006;-0,062;-0,142;-0,104;-0,002;-0,126;-0,125;-0,285;-0,027;-0,075;
2022-11-10;-0,077;-0,128;-0,059;;-0,127;-0,074;-0,044;-0,004;-0,054;-0,132;-0,096;0,002;-0,107;-0,106;-0,274;-0,023;-0,075;
2022-11-11;-0,077;-0,133;-0,050;;-0,134;;-0,045;-0,017;-0,056;-0,134;-0,097;0,001;-0,103;-0,100;-0,279;-0,025;-0,068;
2022-11-14;-0,076;-0,128;-0,049;;-0,129;-0,071;-0,045;-0,012;-0,057;-0,131;-0,097;0,002;-0,103;-0,100;-0,274;-0,027;-0,070;
2022-11-15;-0,075;-0,127;-0,052;;-0,128;-0,070;-0,044;-0,013;-0,055;-0,134;-0,095;0,002;-0,107;-0,105;-0,267;-0,023;-0,070;
2022-11-16;-0,075;-0,129;-0,060;;-0,130;-0,070;-0,043;-0,013;-0,056;-0,135;-0,096;0,003;-0,109;-0,107;-0,269;-0,019;-0,067;
2022-11-17;-0,075;-0,129;-0,060;;-0,130;;;-0,014;-0,058;-0,137;;0,003;-0,115;-0,113;;-0,015;-0,065;
2022-11-18;;;;;;-0,071;-0,043;;;;-0,093;;;;-0,266;;;
2022-11-21;-0,075;-0,121;-0,053;;-0,121;-0,070;-0,043;-0,002;-0,050;-0,132;-0,092;0,004;-0,108;-0,107;-0,267;-0,013;-0,056;
2022-11-22;-0,075;-0,118;-0,052;;-0,118;-0,068;-0,043;-0,002;-0,050;-0,129;-0,090;0,004;-0,106;-0,105;-0,264;-0,013;-0,056;
2022-11-23;-0,074;-0,120;-0,050;;-0,120;-0,067;-0,042;-0,003;-0,049;-0,128;-0,091;0,004;-0,103;-0,102;-0,264;-0,012;-0,056;
2022-11-24;-0,074;;-0,048;;;;-0,041;;;-0,129;;0,006;-0,103;-0,102;-0,260;-0,009;-0,059;
2022-11-25;-0,074;-0,121;-0,048;;-0,121;-0,065;-0,042;-0,004;-0,053;-0,126;-0,091;0,004;-0,101;-0,100;-0,261;-0,015;-0,061;
2022-11-28;-0,074;-0,123;-0,049;;-0,123;;;-0,002;-0,054;-0,129;;0,004;-0,104;-0,103;;-0,016;-0,063;
2022-11-29;;;;;;-0,068;-0,041;;;;-0,093;;;;-0,261;;;
2022-11-30;-0,075;-0,121;-0,050;;-0,124;-0,066;-0,041;0,001;-0,057;-0,125;-0,086;0,003;-0,104;-0,103;-0,256;-0,011;-0,059;
2022-12-01;-0,073;-0,118;-0,045;;-0,119;-0,063;-0,039;0,003;-0,050;-0,121;-0,088;0,007;-0,099;-0,097;-0,255;-0,008;-0,052;
2022-12-02;-0,073;-0,118;-0,042;;-0,121;-0,063;-0,039;0,003;-0,051;-0,121;-0,087;0,008;-0,098;-0,096;-0,263;-0,009;-0,056;
2022-12-05;-0,073;-0,121;-0,044;;-0,125;-0,064;-0,039;-0,001;-0,058;-0,119;-0,090;0,007;-0,093;-0,092;-0,264;-0,010;-0,054;
2022-12-06;-0,073;-0,124;-0,054;;-0,127;-0,065;-0,039;-0,003;-0,061;-0,122;-0,092;0,008;-0,099;-0,098;-0,263;;;
2022-12-07;-0,073;-0,129;-0,060;;-0,132;-0,065;-0,038;-0,006;-0,067;-0,126;-0,093;0,009;-0,105;-0,104;-0,266;-0,008;-0,060;
2022-12-08;-0,073;-0,126;-0,062;;-0,129;-0,065;-0,038;-0,003;-0,064;-0,127;-0,092;0,009;-0,107;-0,105;-0,265;-0,007;-0,063;
2022-12-09;-0,073;-0,125;-0,055;;-0,128;-0,065;-0,039;-0,001;-0,063;-0,119;-0,093;0,009;-0,099;-0,098;-0,261;-0,010;-0,061;
2022-12-12;-0,073;-0,129;-0,056;;-0,132;;;-0,005;-0,067;-0,124;;0,009;-0,102;-0,100;;-0,011;-0,064;
2022-12-13;;;;;;-0,062;-0,039;;;;-0,091;;;;-0,253;;;
2022-12-14;-0,072;-0,126;-0,047;;-0,128;-0,061;-0,039;-0,000;-0,061;-0,117;-0,091;0,009;-0,091;-0,089;-0,251;-0,015;-0,063;
2022-12-15;-0,073;-0,136;-0,057;;-0,139;-0,062;-0,040;-0,006;-0,074;-0,126;-0,095;0,006;-0,105;-0,104;-0,253;-0,013;-0,063;
2022-12-16;-0,074;-0,135;-0,062;;-0,139;-0,064;-0,041;-0,006;-0,071;-0,128;-0,098;0,003;-0,112;-0,111;-0,250;-0,017;-0,069;
2022-12-19;-0,073;-0,136;-0,070;;-0,141;-0,066;-0,041;-0,010;-0,074;-0,130;-0,100;0,003;-0,118;-0,117;-0,247;-0,018;-0,072;
2022-12-20;-0,073;-0,137;-0,074;;-0,142;-0,067;-0,042;-0,009;-0,075;-0,130;-0,100;0,002;-0,120;-0,120;-0,241;-0,019;-0,073;
2022-12-21;-0,074;-0,134;-0,074;;-0,138;-0,066;-0,042;-0,006;-0,069;-0,127;-0,097;0,000;-0,118;-0,117;-0,235;-0,018;-0,071;
2022-12-22;-0,074;-0,134;-0,073;;-0,139;-0,066;-0,042;-0,003;-0,070;-0,126;-0,099;-0,002;-0,118;-0,118;-0,236;-0,021;-0,067;
2022-12-23;;-0,134;-0,072;;-0,138;-0,067;;-0,003;-0,069;-0,124;-0,097;;-0,118;-0,117;-0,233;-0,020;-0,067;
2022-12-27;-0,074;-0,133;-0,070;;-0,137;-0,067;-0,043;-0,004;-0,068;-0,122;-0,099;-0,005;-0,114;-0,113;-0,234;-0,022;-0,066;
2022-12-28;-0,074;-0,135;-0,071;;-0,139;-0,069;-0,043;-0,007;-0,069;-0,123;-0,102;-0,004;-0,114;-0,114;-0,236;-0,021;-0,065;
2022-12-29;-0,074;-0,133;-0,066;;-0,137;-0,069;-0,043;-0,004;-0,068;-0,121;-0,098;-0,004;-0,111;-0,111;-0,231;-0,022;-0,069;
2022-12-30;;-0,137;-0,067;;-0,142;-0,069;;-0,008;-0,071;-0,123;-0,101;;-0,114;-0,113;-0,234;-0,023;-0,066;
2023-01-02;-0,073;;-0,068;;;;-0,043;;;-0,121;;-0,003;-0,115;-0,114;-0,228;-0,018;-0,064;
2023-01-03;-0,073;-0,131;-0,060;;-0,136;-0,067;-0,042;-0,000;-0,062;-0,117;-0,097;-0,002;-0,109;-0,108;-0,224;-0,018;-0,060;
2023-01-04;-0,072;-0,129;-0,061;;-0,133;-0,065;-0,041;-0,002;-0,057;-0,116;-0,095;0,001;-0,106;-0,105;-0,220;-0,015;-0,058;
2023-01-05;;-0,126;-0,061;;-0,130;-0,066;;-0,002;-0,056;-0,114;-0,094;;-0,103;;-0,220;-0,013;-0,054;
2023-01-09;-0,071;-0,124;-0,057;;-0,129;-0,060;-0,041;-0,009;-0,054;-0,108;-0,092;0,001;-0,094;-0,094;-0,210;-0,012;-0,049;
2023-01-10;-0,071;-0,127;-0,058;;-0,132;-0,060;-0,041;-0,011;-0,054;-0,111;-0,091;0,002;-0,094;-0,094;-0,211;-0,015;-0,053;
2023-01-11;-0,070;-0,122;-0,053;;-0,126;-0,059;-0,040;-0,009;-0,045;-0,106;-0,087;0,004;-0,087;-0,087;-0,211;-0,009;-0,048;
2023-01-12;-0,069;-0,118;-0,049;;-0,123;-0,057;-0,039;-0,009;-0,044;-0,103;-0,085;0,005;-0,083;-0,083;-0,205;-0,004;-0,042;
2023-01-13;-0,069;-0,120;-0,046;;-0,125;-0,056;-0,039;-0,004;-0,046;-0,104;-0,085;0,006;-0,085;-0,084;-0,207;-0,003;-0,046;
