
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-12-29;-0,039;-0,057;-0,034;;-0,055;-0,032;-0,020;0,008;-0,002;-0,068;-0,047;0,005;-0,046;-0,047;-0,113;0,003;-0,018;
2024-01-02;-0,039;-0,055;-0,037;;-0,055;-0,033;-0,021;0,014;-0,003;-0,068;-0,048;0,004;-0,048;-0,050;-0,114;0,002;-0,015;
2024-01-03;-0,039;;-0,043;;-0,054;;;0,016;-0,008;-0,073;;0,004;-0,058;-0,059;;0,005;-0,012;
2024-01-04;-0,039;-0,058;;;;-0,036;-0,022;;;;-0,051;0,002;;-0,056;-0,110;;;
2024-01-05;;-0,058;-0,048;;-0,054;-0,036;-0,022;0,017;-0,012;-0,067;-0,051;;-0,058;;-0,111;0,002;-0,016;
2024-01-08;-0,039;-0,053;-0,044;;-0,052;-0,035;-0,022;0,019;-0,009;-0,066;-0,048;0,001;-0,055;-0,056;-0,104;0,004;-0,015;
2024-01-09;-0,039;-0,053;-0,041;;-0,050;-0,034;-0,022;0,025;-0,005;-0,068;-0,047;0,000;-0,058;-0,059;-0,106;0,003;-0,013;
2024-01-10;-0,039;-0,052;-0,041;;-0,049;-0,032;-0,022;0,026;-0,006;-0,067;-0,047;-0,000;-0,058;-0,059;-0,108;0,003;-0,014;
2024-01-11;-0,038;-0,049;-0,038;;-0,046;-0,031;-0,022;0,027;-0,004;-0,065;-0,045;0,000;-0,056;-0,057;-0,109;0,003;-0,013;
2024-01-12;-0,037;-0,050;-0,038;;-0,046;-0,031;-0,021;0,027;-0,001;-0,063;-0,044;0,002;-0,055;-0,055;-0,105;0,005;-0,015;
2024-01-15;-0,037;;-0,043;;;;-0,021;;;-0,066;;0,002;-0,059;-0,060;-0,106;0,004;-0,014;
2024-01-16;-0,037;-0,045;-0,042;;-0,042;-0,032;-0,021;0,029;0,001;-0,069;-0,043;0,003;-0,062;-0,062;-0,106;0,008;-0,011;
2024-01-17;-0,038;-0,045;-0,046;;-0,042;-0,034;-0,023;0,029;0,003;-0,073;-0,044;0,001;-0,069;-0,069;-0,109;0,008;-0,013;
2024-01-18;-0,038;-0,041;-0,039;;-0,038;-0,033;-0,023;0,026;0,004;-0,072;-0,043;0,002;-0,065;-0,066;-0,106;0,007;-0,013;
2024-01-19;-0,038;-0,037;-0,042;;-0,034;-0,033;-0,023;0,029;0,007;-0,072;-0,041;0,001;-0,066;-0,067;-0,101;0,009;-0,009;
2024-01-22;-0,038;-0,037;-0,039;;-0,031;-0,032;-0,022;0,030;0,015;-0,070;-0,040;0,002;-0,062;-0,063;-0,099;0,009;-0,009;
2024-01-23;-0,038;-0,036;-0,038;;-0,030;-0,032;-0,022;0,029;0,018;-0,068;-0,039;0,001;-0,059;-0,060;-0,102;0,008;-0,009;
2024-01-24;-0,038;-0,037;-0,037;;-0,031;-0,032;-0,022;0,029;0,013;-0,066;-0,040;0,000;-0,056;-0,058;-0,098;0,006;-0,005;
2024-01-25;-0,037;;-0,031;;-0,029;;;0,027;0,013;-0,061;;0,001;-0,054;-0,056;;0,005;-0,007;
2024-01-26;;-0,036;;;;-0,031;-0,021;;;;-0,038;;;;-0,098;;;
2024-01-29;-0,036;-0,031;-0,026;;-0,027;-0,030;-0,020;0,031;0,014;-0,058;-0,036;0,001;-0,050;-0,052;-0,098;0,009;0,005;
2024-01-30;-0,036;-0,031;-0,024;;-0,026;-0,030;-0,020;0,032;0,016;-0,059;-0,036;0,000;-0,051;-0,053;-0,097;0,006;0,005;
2024-01-31;-0,035;-0,037;-0,024;;-0,030;-0,031;-0,019;0,032;0,007;-0,057;-0,039;0,002;-0,048;-0,050;-0,091;0,006;0,002;
2024-02-01;-0,035;-0,030;-0,021;;-0,027;-0,030;-0,019;0,032;0,006;-0,057;-0,035;0,003;-0,046;-0,047;-0,087;0,007;-0,002;
2024-02-02;-0,035;;-0,023;;-0,020;;;0,034;0,008;-0,055;;0,002;-0,044;-0,046;;0,008;0,001;
2024-02-05;;-0,020;;;;-0,032;-0,022;;;;-0,032;;;;-0,082;;;
2024-02-06;-0,036;-0,021;-0,018;;-0,017;-0,031;-0,021;0,046;0,011;-0,054;-0,033;-0,000;-0,046;-0,048;-0,077;0,008;0,007;
2024-02-07;-0,036;-0,021;-0,019;;-0,018;-0,032;-0,022;0,045;0,008;-0,054;-0,033;-0,000;-0,043;-0,045;-0,080;0,004;0,006;
2024-02-08;-0,036;-0,020;-0,014;;-0,017;-0,032;-0,022;0,040;0,012;-0,056;-0,032;-0,001;-0,043;-0,044;-0,078;0,004;0,006;
2024-02-09;-0,037;-0,019;-0,018;;-0,017;-0,031;-0,022;0,042;0,017;-0,057;-0,032;-0,002;-0,045;-0,047;-0,079;0,003;0,009;
2024-02-12;-0,036;-0,021;-0,020;;-0,016;-0,031;-0,022;0,039;0,019;-0,057;-0,033;-0,003;-0,043;-0,044;-0,077;0,002;0,007;
2024-02-13;-0,037;-0,020;-0,023;;-0,016;-0,033;-0,023;0,042;0,015;-0,056;-0,033;-0,003;-0,046;-0,048;-0,085;0,001;0,007;
2024-02-14;-0,037;-0,018;-0,018;;-0,014;-0,032;-0,022;0,046;0,019;-0,054;-0,033;-0,003;-0,043;-0,044;-0,076;0,005;0,009;
2024-02-15;-0,036;-0,018;-0,020;;-0,015;-0,031;-0,022;0,047;0,023;-0,051;-0,032;-0,002;-0,039;-0,041;-0,076;0,004;0,008;
2024-02-16;-0,037;-0,019;-0,019;;-0,012;-0,032;-0,023;0,048;0,023;-0,048;-0,033;-0,002;-0,036;-0,038;-0,075;0,002;0,009;
2024-02-19;-0,037;;-0,020;;;;-0,023;;;-0,047;;-0,001;-0,036;-0,037;-0,073;0,001;0,007;
2024-02-20;-0,036;-0,025;-0,024;;-0,021;-0,031;-0,022;0,045;0,014;-0,049;-0,035;-0,000;-0,038;-0,040;-0,070;0,001;0,007;
2024-02-21;-0,036;-0,025;-0,026;;-0,023;-0,031;-0,023;0,040;0,012;-0,049;-0,036;-0,000;-0,039;-0,040;-0,070;0,001;0,007;
2024-02-22;-0,036;-0,018;-0,021;;-0,016;-0,031;-0,023;0,043;0,017;-0,046;-0,033;-0,001;-0,033;-0,035;-0,068;-0,003;0,005;
2024-02-23;-0,036;;-0,021;;-0,012;;;0,047;0,017;-0,044;;-0,001;-0,031;-0,033;;-0,001;0,010;
2024-02-26;;-0,019;;;;-0,031;-0,023;;;;-0,033;;;;-0,065;;;
2024-02-27;-0,036;-0,019;-0,023;;-0,014;-0,031;-0,023;0,049;0,019;-0,044;-0,033;-0,002;-0,031;-0,033;-0,069;-0,003;0,005;
2024-02-28;-0,036;-0,018;-0,025;;-0,014;-0,031;-0,023;0,049;0,021;-0,041;-0,032;-0,002;-0,031;-0,033;-0,071;-0,001;0,009;
2024-02-29;-0,036;-0,017;-0,023;;-0,014;-0,032;-0,022;0,047;0,025;-0,041;-0,031;-0,001;-0,030;-0,032;-0,070;-0,002;0,007;
2024-03-01;-0,036;-0,013;-0,022;;-0,009;-0,031;-0,022;0,051;0,023;-0,039;-0,029;-0,001;-0,028;-0,030;-0,071;-0,001;0,008;
2024-03-04;-0,035;;-0,019;;-0,006;;;0,054;0,030;-0,036;;0,000;-0,027;-0,029;;0,000;0,004;
2024-03-05;;-0,015;;;;-0,030;-0,021;;;;-0,029;;;;-0,074;;;
2024-03-06;-0,034;-0,014;-0,023;;-0,008;-0,030;-0,021;0,053;0,027;-0,035;-0,030;0,001;-0,026;-0,029;-0,074;0,006;0,002;
2024-03-07;-0,034;-0,011;-0,022;;-0,007;-0,029;-0,020;0,055;0,028;-0,029;-0,028;0,002;-0,024;-0,027;-0,077;0,005;-0,002;
2024-03-08;-0,032;-0,015;-0,022;;-0,006;-0,028;-0,020;0,054;0,030;-0,029;-0,029;0,004;-0,020;-0,023;-0,078;0,005;0,001;
2024-03-11;-0,032;-0,016;-0,026;;-0,012;-0,028;-0,020;0,051;0,024;-0,032;-0,029;0,004;-0,023;-0,025;-0,076;0,005;0,002;
2024-03-12;-0,032;-0,011;-0,023;;-0,007;-0,028;-0,020;0,053;0,026;-0,025;-0,027;0,004;-0,017;-0,020;-0,072;0,005;0,005;
2024-03-13;-0,032;-0,012;-0,024;;-0,007;-0,028;-0,020;0,053;0,024;-0,024;-0,027;0,003;-0,016;-0,019;-0,074;0,003;0,007;
2024-03-14;-0,033;-0,009;-0,017;;-0,005;-0,029;-0,021;0,051;0,022;-0,025;-0,027;0,001;-0,017;-0,019;-0,075;0,005;0,010;
2024-03-15;-0,034;-0,010;-0,015;;-0,005;-0,029;-0,021;0,054;0,023;-0,022;-0,028;0,000;-0,014;-0,017;-0,080;0,005;0,011;
2024-03-18;-0,033;-0,006;-0,015;;-0,001;-0,029;-0,021;0,057;0,025;-0,026;-0,026;-0,000;-0,018;-0,022;-0,083;0,005;0,010;
2024-03-19;-0,033;-0,003;-0,012;;-0,002;-0,028;-0,021;0,057;0,025;-0,024;-0,025;-0,000;-0,018;-0,020;-0,079;0,008;0,016;
2024-03-20;-0,033;0,002;-0,009;;0,003;-0,028;-0,021;0,059;0,032;-0,024;-0,022;-0,000;-0,016;-0,019;-0,078;0,008;0,014;
2024-03-21;-0,033;0,005;-0,005;;0,008;-0,028;-0,020;0,063;0,040;-0,018;-0,021;0,001;-0,008;-0,010;-0,068;0,008;0,015;
2024-03-22;-0,032;;-0,004;;0,010;;;0,063;0,040;-0,015;;0,002;-0,006;-0,009;;0,011;0,017;
2024-03-25;;0,008;;;;-0,028;-0,020;;;;-0,019;;;;-0,072;;;
2024-03-26;-0,032;0,007;-0,002;;0,011;-0,028;-0,020;0,067;0,042;-0,013;-0,019;0,001;-0,007;-0,009;-0,069;0,014;0,019;
2024-03-27;-0,031;0,010;0,000;;0,011;-0,028;-0,019;0,071;0,047;-0,012;-0,017;0,002;-0,005;-0,007;-0,067;0,016;0,023;
2024-03-28;;0,014;0,002;;0,016;-0,028;-0,019;0,076;0,055;-0,015;-0,016;;-0,008;;-0,061;0,017;0,029;
2024-04-02;-0,032;0,010;-0,000;;0,011;-0,029;-0,020;0,070;0,047;-0,013;-0,018;0,001;-0,008;-0,010;-0,055;0,017;0,032;
2024-04-03;-0,032;0,008;-0,005;;0,010;-0,029;-0,019;0,068;0,043;-0,014;-0,019;0,000;-0,010;-0,011;-0,056;0,016;0,027;
2024-04-04;-0,032;0,002;-0,004;;0,010;-0,028;-0,019;0,067;0,044;-0,012;-0,022;0,001;-0,008;-0,010;-0,053;0,015;0,021;
2024-04-05;-0,032;0,008;-0,005;;0,008;-0,029;-0,019;0,065;0,041;-0,014;-0,020;0,001;-0,013;-0,015;-0,048;0,016;0,018;
2024-04-08;-0,032;0,005;-0,004;;0,005;-0,029;-0,020;0,062;0,038;-0,011;-0,022;0,000;-0,010;-0,012;-0,044;0,012;0,017;
2024-04-09;-0,032;0,004;-0,005;;0,004;-0,028;-0,019;0,061;0,039;-0,012;-0,021;0,001;-0,010;-0,012;-0,049;0,013;0,015;
2024-04-10;-0,032;0,006;-0,005;;0,007;-0,030;-0,021;0,066;0,039;-0,014;-0,022;0,001;-0,014;-0,016;-0,046;0,014;0,017;
2024-04-11;-0,032;0,011;-0,003;;0,008;-0,031;-0,021;0,066;0,039;-0,015;-0,020;0,001;-0,015;-0,017;-0,046;0,013;0,019;
2024-04-12;-0,031;0,011;-0,007;;0,013;-0,032;-0,020;0,072;0,042;-0,010;-0,019;0,002;-0,012;-0,014;-0,049;0,016;0,023;
2024-04-15;-0,032;0,007;-0,009;;0,013;-0,033;-0,021;0,070;0,040;-0,009;-0,023;0,001;-0,009;-0,011;-0,048;0,017;0,023;
2024-04-16;-0,032;0,005;-0,016;;0,007;-0,035;-0,021;0,066;0,033;-0,018;-0,024;-0,000;-0,020;-0,022;-0,056;0,016;0,022;
2024-04-17;-0,032;0,005;-0,016;;0,009;-0,034;-0,021;0,069;0,036;-0,012;-0,024;0,000;-0,017;-0,019;-0,051;0,016;0,024;
2024-04-18;-0,032;;-0,023;;0,005;;;0,063;0,029;-0,015;;0,001;-0,021;-0,023;;0,017;0,025;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;0,003;;;;-0,031;-0,021;;;;-0,024;;;;-0,038;;;
2024-04-24;-0,032;;-0,016;;0,007;;;0,068;0,036;-0,012;;0,002;-0,011;-0,012;;0,014;0,032;
2024-04-25;;0,002;;;;-0,033;-0,022;;;;-0,025;;;;-0,041;;;
2024-04-26;-0,032;0,008;-0,013;;0,008;-0,032;-0,022;0,067;0,038;-0,011;-0,022;0,002;-0,010;-0,011;-0,036;0,015;0,040;
2024-04-29;-0,032;0,009;-0,009;;0,009;-0,032;-0,021;0,070;0,039;-0,009;-0,020;0,003;-0,007;-0,008;-0,031;0,020;0,043;
2024-04-30;;0,005;-0,003;;0,010;-0,032;-0,022;0,075;0,041;-0,005;-0,022;;-0,006;;-0,032;0,020;0,043;
2024-05-02;-0,032;0,004;-0,010;;0,002;-0,031;-0,021;0,070;0,036;-0,010;-0,022;0,003;-0,011;-0,013;;0,019;0,037;
2024-05-03;-0,030;;-0,005;;0,007;;;0,069;0,043;-0,012;;0,005;-0,009;-0,011;;0,017;0,039;
2024-05-06;;0,009;;;;-0,029;-0,019;;;;-0,018;;;;-0,026;;;
2024-05-07;-0,029;0,011;-0,005;;0,013;-0,028;-0,019;0,072;0,048;-0,004;-0,016;0,006;-0,002;-0,003;-0,025;0,020;0,041;
2024-05-08;;0,013;0,001;;0,015;-0,028;-0,019;0,078;0,051;-0,003;-0,016;;0,001;;-0,021;0,022;0,045;
2024-05-10;-0,029;0,014;0,003;;0,017;-0,028;-0,020;0,078;0,051;0,003;-0,014;0,004;0,008;0,006;-0,022;0,021;0,045;
2024-05-13;-0,028;0,013;0,004;;0,016;-0,028;-0,019;0,077;0,053;0,005;-0,014;0,005;0,010;0,008;-0,022;0,020;0,047;
2024-05-14;-0,028;0,016;0,009;;0,017;-0,028;-0,020;0,077;0,053;0,006;-0,013;0,005;0,011;0,010;-0,019;0,020;0,047;
2024-05-15;-0,027;0,017;0,012;;0,019;-0,027;-0,018;0,080;0,054;0,007;-0,012;0,006;0,013;0,011;-0,017;0,020;0,045;
2024-05-16;-0,027;0,015;0,013;;0,020;-0,026;-0,018;0,079;0,051;0,004;-0,012;0,006;0,011;0,009;-0,017;0,019;0,040;
2024-05-17;-0,027;0,014;0,011;-0,004;0,018;-0,027;-0,019;0,078;0,050;0,003;-0,013;0,005;0,009;0,008;-0,012;0,019;0,044;
2024-05-20;;0,016;0,017;;0,018;;;0,077;0,050;0,007;;;0,015;;;0,018;0,042;
2024-05-21;-0,026;0,016;0,014;-0,003;0,017;-0,026;-0,019;0,080;0,047;0,006;-0,012;0,005;0,014;0,012;-0,012;0,017;0,041;
2024-05-22;-0,026;0,016;0,017;-0,004;0,019;-0,027;-0,019;0,082;0,050;0,007;-0,012;0,004;0,016;0,014;-0,013;0,016;0,042;
2024-05-23;-0,027;0,016;0,018;-0,003;0,019;-0,027;-0,020;0,080;0,046;0,007;-0,013;-0,008;0,016;0,014;-0,012;0,016;0,041;
2024-05-24;-0,027;;0,017;-0,003;0,018;;-0,020;0,077;0,042;0,004;;-0,009;0,013;0,011;-0,014;0,015;0,037;
2024-05-27;-0,026;;0,017;;;;;;;0,004;;-0,008;0,013;0,011;;0,014;0,035;
2024-05-28;;0,013;;-0,009;;-0,027;-0,020;;;;-0,015;;;;-0,020;;;
2024-05-29;-0,027;0,013;0,008;-0,013;0,015;-0,028;-0,020;0,066;0,033;-0,002;-0,016;-0,009;0,007;0,005;-0,026;0,009;0,029;
2024-05-30;-0,027;0,010;0,009;-0,008;0,015;-0,028;-0,020;0,068;0,032;0,000;-0,017;-0,009;0,007;0,005;;0,009;0,029;
2024-05-31;-0,027;;0,012;;0,010;;;0,067;0,030;0,001;;-0,009;0,009;0,007;;0,006;0,028;
2024-06-03;;0,007;;-0,010;;-0,026;-0,019;;;;-0,018;;;;-0,025;;;
2024-06-04;-0,025;0,006;0,006;-0,013;0,010;-0,026;-0,018;0,068;0,023;-0,001;-0,017;-0,006;0,006;0,004;-0,038;0,006;0,027;
2024-06-05;;0,011;0,005;-0,011;0,010;-0,025;-0,018;0,066;0,020;-0,001;-0,014;;0,007;0,006;-0,035;0,007;0,029;
2024-06-07;-0,026;0,014;0,008;-0,011;0,017;-0,026;-0,019;0,078;0,026;0,003;-0,014;-0,007;0,010;0,008;-0,036;;;
2024-06-10;-0,026;0,015;0,007;-0,008;0,016;-0,026;-0,019;0,078;0,025;-0,001;-0,014;-0,008;0,006;0,005;-0,033;0,003;0,034;
2024-06-11;-0,026;0,013;0,004;-0,014;0,015;-0,026;-0,019;0,075;0,021;-0,005;-0,014;-0,007;0,006;0,005;-0,039;-0,002;0,028;
2024-06-12;-0,024;0,010;0,005;-0,010;0,015;-0,024;-0,018;0,071;0,027;0,002;-0,014;-0,005;0,016;0,015;-0,037;-0,000;0,027;
2024-06-13;-0,024;0,016;0,001;-0,017;0,019;-0,025;-0,017;0,073;0,026;-0,001;-0,011;-0,005;0,010;0,008;-0,039;-0,001;0,023;
2024-06-14;-0,023;0,017;-0,003;-0,019;0,023;-0,026;-0,017;0,079;0,028;-0,006;-0,010;-0,002;0,004;0,003;-0,038;0,005;0,028;
2024-06-17;-0,024;0,018;-0,005;-0,019;0,021;-0,026;-0,017;0,076;0,025;-0,007;-0,011;-0,003;0,003;0,001;-0,035;0,004;0,025;
2024-06-18;-0,023;0,018;-0,007;-0,017;0,021;-0,025;-0,017;0,073;0,026;-0,007;-0,011;-0,003;0,002;-0,000;-0,034;0,002;0,026;
2024-06-19;-0,023;;-0,007;-0,019;;;-0,017;;;-0,007;;-0,003;0,002;0,000;-0,033;0,001;0,023;
2024-06-20;;0,016;-0,007;-0,014;0,024;-0,025;-0,017;0,072;0,026;-0,004;-0,011;;0,006;0,005;-0,029;0,001;0,023;
2024-06-24;-0,023;;-0,004;;0,019;;;0,077;0,027;-0,002;;-0,003;0,007;0,005;;0,003;0,027;
2024-06-25;;0,017;;-0,015;;-0,024;-0,017;;;;-0,010;;;;-0,025;;;
2024-06-26;-0,023;0,017;-0,009;-0,016;0,023;-0,025;-0,017;0,084;0,027;-0,004;-0,010;-0,003;0,004;0,002;-0,026;0,003;0,030;
2024-06-27;-0,022;0,018;-0,008;-0,016;0,022;-0,025;-0,017;0,083;0,027;-0,004;-0,009;-0,002;0,003;0,001;-0,020;0,004;0,032;
2024-06-28;-0,022;0,016;-0,009;-0,015;0,025;-0,025;-0,017;0,085;0,034;-0,002;-0,010;-0,002;0,005;0,003;-0,018;0,005;0,032;
2024-07-01;-0,022;0,018;-0,009;-0,014;0,020;-0,025;-0,018;0,084;0,029;0,002;-0,009;-0,004;0,007;0,005;-0,018;0,004;0,025;
2024-07-02;-0,022;0,017;-0,009;-0,014;0,021;-0,024;-0,017;0,077;0,028;-0,004;-0,009;-0,004;0,003;0,002;-0,018;0,005;0,025;
2024-07-03;-0,022;0,015;-0,005;-0,014;0,020;-0,024;-0,017;0,076;0,026;-0,002;-0,009;-0,004;0,006;0,004;-0,018;0,004;0,024;
2024-07-04;-0,022;;-0,004;-0,015;;;-0,017;;;-0,001;;-0,004;0,007;0,005;-0,017;0,003;0,023;
2024-07-05;-0,022;0,018;-0,001;-0,016;0,021;-0,023;-0,016;0,075;0,024;-0,002;-0,007;-0,003;0,008;0,006;-0,018;0,005;0,023;
2024-07-08;-0,021;0,020;-0,002;-0,015;0,024;-0,022;-0,016;0,079;0,028;-0,004;-0,005;-0,003;0,007;0,005;-0,017;0,007;0,026;
2024-07-09;-0,021;0,020;-0,001;-0,016;0,025;-0,022;-0,016;0,080;0,029;-0,009;-0,006;-0,003;0,003;0,002;-0,016;0,009;0,027;
2024-07-10;-0,021;0,023;-0,001;-0,014;0,025;-0,022;-0,016;0,082;0,029;-0,007;-0,004;-0,003;0,004;0,002;-0,019;0,010;0,024;
2024-07-11;-0,020;0,020;0,001;-0,012;0,027;-0,021;-0,015;0,086;0,038;-0,004;-0,005;-0,001;0,008;0,007;-0,014;0,009;0,028;
2024-07-12;-0,019;;0,010;;0,030;;;0,093;0,050;0,004;;-0,001;0,020;0,018;;0,013;0,028;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;0,018;;-0,012;;-0,020;-0,014;;;;-0,005;;;;-0,008;;;
2024-07-22;-0,018;0,026;0,015;-0,009;0,029;-0,020;-0,015;0,095;0,059;0,007;-0,002;0,001;0,019;0,017;-0,004;0,019;0,028;
2024-07-23;-0,018;0,027;0,016;-0,005;0,032;-0,019;-0,014;0,099;0,067;0,006;-0,001;0,002;0,018;0,016;-0,003;0,023;0,033;
2024-07-24;-0,017;0,018;0,016;-0,009;0,027;-0,019;-0,014;0,098;0,065;0,002;-0,005;0,002;0,014;0,012;-0,005;;;
2024-07-25;-0,017;;0,009;;0,019;;;0,098;0,061;-0,004;;0,002;0,006;0,004;;0,025;0,028;
2024-07-26;;0,022;;-0,009;;-0,019;-0,013;;;;-0,004;;;;-0,007;;;
2024-07-29;-0,017;0,023;0,017;-0,010;0,029;-0,019;-0,012;0,096;0,073;0,004;-0,003;0,002;0,013;0,012;-0,008;0,027;0,032;
2024-07-30;-0,017;0,018;0,016;-0,009;0,026;-0,019;-0,012;0,096;0,075;0,005;-0,004;0,003;0,014;0,012;-0,010;0,026;0,034;
2024-07-31;-0,016;0,022;0,015;-0,009;0,024;-0,018;-0,012;0,090;0,072;0,005;-0,002;0,003;0,015;0,013;-0,012;0,024;0,034;
2024-08-01;-0,016;0,013;0,014;-0,016;0,025;-0,018;-0,011;0,093;0,068;0,002;-0,004;0,004;0,012;0,010;-0,018;0,022;0,031;
2024-08-02;-0,015;;-0,003;;0,004;;;0,086;0,044;-0,015;;0,005;-0,007;-0,009;;0,025;0,032;
2024-08-05;;-0,015;;-0,035;;-0,021;-0,011;;;;-0,016;;;;-0,047;;;
2024-08-06;-0,016;-0,010;-0,014;-0,037;-0,005;-0,020;-0,011;0,079;0,038;-0,028;-0,016;0,005;-0,020;-0,022;-0,049;0,022;0,017;
2024-08-07;-0,016;-0,016;-0,005;-0,035;-0,002;-0,019;-0,011;0,074;0,039;-0,022;-0,017;0,003;-0,011;-0,012;-0,050;0,017;0,016;
2024-08-08;-0,015;-0,005;-0,008;-0,033;-0,004;-0,019;-0,011;0,078;0,039;-0,022;-0,013;0,003;-0,013;-0,015;-0,050;0,018;0,015;
2024-08-09;-0,015;-0,003;-0,003;-0,027;-0,001;-0,019;-0,011;0,084;0,040;-0,019;-0,012;0,003;-0,009;-0,011;-0,049;0,021;0,022;
2024-08-12;-0,015;-0,002;-0,003;-0,028;0,001;-0,019;-0,010;0,083;0,040;-0,018;-0,011;0,004;-0,008;-0,010;-0,043;0,020;0,022;
2024-08-13;-0,014;;-0,003;-0,025;0,006;-0,018;-0,010;0,089;0,040;-0,015;-0,008;0,004;-0,006;-0,007;-0,040;0,022;0,019;
2024-08-14;-0,014;0,002;;-0,023;;-0,017;-0,010;;;;-0,008;0,004;;-0,005;-0,038;;;
2024-08-15;;0,011;0,003;;0,014;;;0,093;0,048;-0,006;;;0,003;;;0,024;0,024;
2024-08-16;-0,014;0,013;0,003;-0,014;0,016;-0,016;-0,010;0,094;0,050;-0,007;-0,003;0,003;0,003;0,001;-0,029;0,025;0,029;
2024-08-19;-0,013;0,011;0,003;-0,013;0,014;-0,015;-0,010;0,091;0,045;-0,005;-0,004;0,004;0,004;0,003;-0,029;0,023;0,027;
2024-08-20;-0,013;0,006;0,002;-0,017;0,013;-0,015;-0,010;0,091;0,041;-0,008;-0,005;0,003;0,004;0,002;-0,039;0,019;0,024;
2024-08-21;-0,013;0,009;0,000;-0,017;0,013;-0,014;-0,009;0,090;0,040;-0,009;-0,004;0,004;0,002;0,001;-0,039;0,018;0,022;
2024-08-22;-0,013;;0,001;;0,016;;;0,092;0,043;-0,005;;0,003;0,006;0,004;;0,018;0,023;
2024-08-27;;0,010;;-0,011;;-0,013;-0,010;;;;-0,004;;;;-0,042;;;
2024-08-28;-0,012;0,008;0,001;-0,012;0,015;-0,012;-0,009;0,091;0,047;-0,004;-0,004;0,002;0,009;0,007;-0,044;0,016;0,023;
2024-08-29;-0,012;0,010;0,003;-0,009;0,016;-0,012;-0,009;0,094;0,049;-0,001;-0,003;0,002;0,011;0,009;-0,042;0,015;0,023;
2024-08-30;-0,012;0,013;0,006;-0,008;0,017;-0,012;-0,010;0,096;0,053;0,002;-0,002;0,002;0,013;0,012;-0,042;0,015;0,026;
2024-09-02;-0,012;;0,000;-0,004;;;-0,010;;;0,001;;0,001;0,010;0,009;-0,034;0,014;0,027;
2024-09-03;-0,011;0,005;-0,002;-0,007;0,014;-0,013;-0,009;0,097;0,049;-0,001;-0,004;0,001;0,009;0,007;-0,040;0,015;0,029;
2024-09-04;-0,011;;-0,006;;0,007;;;0,094;0,042;-0,007;;0,002;0,001;-0,000;;0,020;0,028;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;0,027;;-0,010;;-0,009;-0,007;;;;0,004;;;;-0,056;;;
2024-10-11;-0,010;0,029;-0,005;-0,007;0,028;-0,009;-0,007;0,082;0,064;-0,007;0,005;0,003;0,005;0,004;-0,053;0,019;0,029;
2024-10-14;-0,009;0,034;-0,005;-0,005;0,035;-0,009;-0,007;0,087;0,070;-0,007;0,007;0,003;0,005;0,003;-0,057;0,019;0,031;
2024-10-15;-0,009;0,029;-0,002;-0,005;0,034;-0,008;-0,006;0,084;0,073;-0,010;0,006;0,004;0,006;0,005;-0,055;0,019;0,033;
2024-10-16;-0,008;0,035;-0,005;-0,005;0,034;-0,007;-0,006;0,086;0,076;-0,010;0,008;0,004;0,002;0,000;-0,052;0,021;0,032;
2024-10-17;-0,008;0,036;0,002;0,002;0,040;-0,007;-0,006;0,090;0,079;-0,007;0,009;0,005;0,005;0,003;-0,050;0,024;0,036;
2024-10-18;-0,008;0,037;0,005;-0,001;0,038;-0,007;-0,005;0,089;0,080;-0,004;0,010;0,005;0,006;0,004;-0,052;0,023;0,038;
2024-10-21;-0,008;0,036;0,005;-0,002;0,038;-0,008;-0,006;0,090;0,078;-0,004;0,009;0,004;0,007;0,005;-0,056;0,023;0,039;
2024-10-22;-0,008;0,034;0,002;-0,005;0,034;-0,008;-0,006;0,086;0,072;-0,007;0,008;0,003;0,002;0,000;-0,058;0,020;0,035;
2024-10-23;-0,008;0,031;0,005;-0,007;0,035;-0,009;-0,006;0,087;0,075;-0,002;0,007;0,003;0,004;0,002;-0,061;0,020;0,037;
2024-10-24;-0,008;0,031;0,005;-0,006;0,032;-0,009;-0,006;0,088;0,071;-0,005;0,007;0,004;0,003;0,001;-0,060;0,023;0,034;
2024-10-25;-0,008;;0,001;;0,034;;;0,083;0,071;-0,005;;0,004;0,003;0,001;;0,023;0,034;
2024-10-28;;0,035;;-0,001;;-0,008;-0,006;;;;0,009;;;;-0,060;;;
